Intersection,Borough,score
HYLAN BLVD NB BET ZWICKY AVE & MIDLAND AVE,Staten Island,1.0
HOOK CREEK BRIDGE,Queens,1.0
78TH ST AT 7TH AVE,Brooklyn,1.0
FT HAMILTON PKWY APPROACH TO 78TH ST,Brooklyn,1.0
FT HAMILTON PKWY SB APPROACHING 78TH ST,Brooklyn,1.0
7TH AVE DEPARTING 78TH ST,Brooklyn,1.0
7TH AVE NB APPROACHING BAY RIDGE PKWY,Brooklyn,1.0
N/B WESTCHESTER AV(SLIP RD)@E TREMONT AV,Bronx,1.0
72 ST CROSS DR @ 5 AVE,Manhattan,1.0
AMSTERDAM AVE BET 70th & 71st ST,Manhattan,1.0
20 STREET,Brooklyn,1.0
CONCORD AVENUE,Bronx,1.0
ARGYLE ROAD,Brooklyn,1.0
RUGBY ROAD,Brooklyn,1.0
BX PARK EAST NB EXIT TO ALLERTON AVE,Bronx,1.0
BX PARK EAST NB APPROACH TO ALLERTON,Bronx,1.0
E 79TH ST BET 5TH AVE & MADISON AVE,Manhattan,1.0
65TH ST APPROACHING 4TH AVE(UNDER BQE),Brooklyn,1.0
ALLERTON AVE WB APPROACH TO BX PARK EAST,Bronx,1.0
ALLERTON AVE EB APPROACH TO BARKER AVE,Bronx,1.0
WESTCHESTER AVE BET CAULDWELL & TRINITY AVES,Bronx,1.0
PARK DR E,Queens,1.0
BROOK AVENUE,Bronx,1.0
Hylan Blvd NB Between,Staten Island,1.0
BRONX RIVER SHORELINE,Bronx,1.0
E/B FLATLANDS AVE @ E 96 ST,Brooklyn,1.0
3RD AVE APPROACH TO EAST 86TH ST,Manhattan,1.0
E/B KOSCIUSZKO BRIDGE @ TO L.I.E.,Queens,1.0
E/B UNION TURNPIKE @ CHEVY CHASE ST,Queens,1.0
FDR DR NB EN E HOUSTON ST,Manhattan,1.0
Crossbay SB Between 11th and 13th Rds.,Queens,1.0
S/B WYTHE AVE @ N 8 ST,Brooklyn,1.0
S/B FRANKLIIN  ST @ NORTH 14TH ST,Brooklyn,1.0
BRONXWOOD AVENUE,Bronx,1.0
KENT STREET,Brooklyn,1.0
E 106 ST,Manhattan,1.0
YORK AVE BET E 82ND ST & E 83RD ST,Manhattan,1.0
Hamilton Ave NB,Brooklyn,1.0
BATTERY PLACE,Manhattan,1.0
