Intersection,Borough,score
DREW ST,Brooklyn,3.0
Flatbush Ave SB Between,Brooklyn,3.0
ARTHUR KILL RD,Staten Island,3.0
LIVONIA AVENUE,Brooklyn,3.0
19 STREET,Queens,3.0
COLLEGE POINT BOULEVARD,Queens,3.0
AVENUE J,Brooklyn,3.0
FARRAGUT ROAD,Brooklyn,3.0
ELIZABETH ST,Staten Island,3.0
CORNELIA STREET,Brooklyn,3.0
23 AV,Queens,3.0
CENTRAL PARK S,Manhattan,3.0
11 AV,Brooklyn,3.0
65 ST,Brooklyn,3.0
HAMILTON AVENUE BRIDGE,Brooklyn,3.0
EAST 59 STREET,Brooklyn,3.0
AVENUE U,Brooklyn,3.0
GRAND AV,Queens,3.0
SHERIDAN AV,Brooklyn,3.0
VERNON BOULEVARD,Queens,3.0
19 AV,Brooklyn,3.0
RUTLAND RD,Brooklyn,3.0
JOHNSON AV,Bronx,3.0
Irving Avenue,Brooklyn,3.0
Fulton Street Line,Queens,3.0
DUANE ST,Manhattan,3.0
METROPOLITAN AV,Queens,3.0
VAN CORTLANDT PARK E,Bronx,3.0
BROOKLYN BRIDGE,Manhattan,3.0
WATERS PLACE,Bronx,3.0
BELT PARKWAY,Brooklyn,3.0
3 AVENUE BRIDGE,Manhattan,3.0
BRADDOCK AVENUE,Queens,3.0
EAST 149 STREET,Bronx,3.0
65 STREET,Brooklyn,3.0
ROCKAWAY PARKWAY,Brooklyn,3.0
Union Turnpike,Queens,3.0
Northern Boulevard,Queens,3.0
BAYCHESTER AVENUE,Bronx,3.0
East 58 Street,Brooklyn,3.0
LANGDALE ST,Queens,3.0
ROCKAWAY BEACH BLVD,Queens,3.0
32 Avenue,Queens,3.0
51 Avenue,Queens,3.0
West 60 Street,Manhattan,3.0
BARTOW AV,Bronx,3.0
LEE AV,Brooklyn,3.0
SPRING STREET,Manhattan,3.0
W 9 ST,Brooklyn,3.0
TER DR,Manhattan,3.0
86 STREET,Brooklyn,3.0
BOOTH MEMORIAL AV,Queens,3.0
Flatbush Ave NB Between,Brooklyn,3.0
UNNAMED ST,Queens,3.0
LEXINGTON AV,Manhattan,3.0
W 86 ST,Manhattan,3.0
MYRTLE AV,Queens,3.0
NEW ENGLAND THRWY,Bronx,3.0
WOODBINE ST,Brooklyn,3.0
E 85 ST,Manhattan,3.0
E 86 ST,Manhattan,3.0
E 56 ST,Brooklyn,3.0
Greenpoint Avenue,Queens,3.0
Lirr Montauk Line,Queens,3.0
West 120 Street,Manhattan,3.0
W 173 ST,Manhattan,3.0
AUTUMN AVENUE,Brooklyn,3.0
84 ST,Brooklyn,3.0
83 Street,Brooklyn,3.0
Broadway Line,Manhattan,3.0
CROSS BAY BLVD,Queens,3.0
UNION SQ S/BROADWAY,Manhattan,3.0
CATHERINE ST,Brooklyn,3.0
Coney Island Creek Shoreline,Brooklyn,3.0
BODY OF WATER,Manhattan,3.0
East 116 Street,Manhattan,3.0
LINCOLN AV,Brooklyn,3.0
63 Street Line,Manhattan,3.0
Linden Boulevard,Queens,3.0
8 Street,Queens,3.0
1 Avenue,Brooklyn,3.0
East 61 Street,Brooklyn,3.0
East 57 Street,Brooklyn,3.0
5 ST,Brooklyn,3.0
Hylan Blvd SB Between,Staten Island,3.0
RAMP,Brooklyn,3.0
ROSE AV,Staten Island,3.0
NASSAU AVENUE,Brooklyn,3.0
AMBOY ROAD,Staten Island,3.0
