Intersection,Borough,score
Jerome Avenue,Bronx,23516.467090964758
CROSS BRONX EP SB EN JEROME AV,Bronx,23389.467090964758
193 STREET,Queens,23193.50732190123
BARTOW AVE APPROACH TO ASCH LOOP,Bronx,22969.0
S/B GRAND AVE @ MYRTLE AVE,Brooklyn,22704.85902883507
E 13 ST,Brooklyn,22684.0
W 6TH ST NB APPROACH TO KINGS HWY,Brooklyn,22562.9
WEST 6th ST S.OF KINGS HIGHWAY,Brooklyn,22562.9
4 AVENUE LINE,Brooklyn,22549.59773836056
N/B ROCHESTER AVE @ UNION ST,Brooklyn,22407.999999999996
78 AV,Queens,22263.649999999998
AMSTERDAM AVENUE,Manhattan,22232.06083009659
ROCKAWAY PKWY,Brooklyn,22224.34777777779
75 AV,Queens,22183.999999999996
W 96 ST,Manhattan,22153.452651940213
W 145 ST BR,Manhattan,22018.98072308129
Unnamed Street,Brooklyn,21986.384433577987
W 78 ST,Manhattan,21919.792274233467
N/B 193 ST @ 47 AVE,Queens,21802.0
Utica Avenue,Brooklyn,21799.740872531922
W/B Macdonough St @ Thomas S Boyland St,Brooklyn,21755.17155046042
W 106 ST,Manhattan,21699.164205350087
Court Street,Brooklyn,21687.197094572097
KISSENA BLVD,Queens,21597.949855963812
LEE AV,Brooklyn,21303.0
EAST 23 STREET,Manhattan,21230.245953734782
BEVERLY ROAD,Queens,21143.037544157163
130 ST,Queens,20961.959914047304
EAST 149 STREET,Bronx,20848.41503818176
14 AVENUE,Queens,20843.0
E/B 23RD ST @ MADISON AVE,Manhattan,20821.654749771646
E/B E 23RD ST @ MADISON AVE,Manhattan,20821.654749771646
62 DR,Queens,20780.0
East 138 Street,Bronx,20743.60421713244
Greenpoint Avenue,Queens,20723.34150255264
3 ST,Brooklyn,20641.04285714287
4 Avenue,Brooklyn,20590.87309262079
COURT STREET,Brooklyn,20447.79532967033
Throop Avenue,Brooklyn,20329.738131313137
CHERRY AVENUE,Queens,20246.0
LEXINGTON AVENUE,Manhattan,20092.678511190934
